,'station',date,storage
175,ORO,06-24,2660785.4375
176,ORO,06-25,2654072.21875
177,ORO,06-26,2645663.709677419
178,ORO,06-27,2638852.709677419
179,ORO,06-28,2677143.8387096776
180,ORO,06-29,2668293.5483870967
181,ORO,06-30,2613695.65625
182,ORO,07-01,2603500.5
183,ORO,07-02,2592831.125
184,ORO,07-03,2627846.7333333334
185,ORO,07-04,2574016.419354839
186,ORO,07-05,2610189.8387096776
187,ORO,07-06,2599329.806451613
188,ORO,07-07,2552223.0
189,ORO,07-08,2532863.84375
190,ORO,07-09,2521076.870967742
191,ORO,07-10,2511866.125
192,ORO,07-11,2498190.3870967743
193,ORO,07-12,2531826.8387096776
194,ORO,07-13,2519151.2258064514
195,ORO,07-14,2464529.84375
196,ORO,07-15,2453406.21875
197,ORO,07-16,2441503.59375
198,ORO,07-17,2429298.6875
199,ORO,07-18,2461181.6774193547
200,ORO,07-19,2450070.35483871
201,ORO,07-20,2439029.4838709678
202,ORO,07-21,2384378.1875
203,ORO,07-22,2373030.8125
204,ORO,07-23,2362412.625
205,ORO,07-24,2349987.1612903224
206,ORO,07-25,2338751.290322581
207,ORO,07-26,2372020.709677419
208,ORO,07-27,2360295.35483871
209,ORO,07-28,2305355.5625
210,ORO,07-29,2293503.53125
211,ORO,07-30,2282609.0
212,ORO,07-31,2271815.2258064514
213,ORO,08-01,2260995.6129032257
214,ORO,08-02,2295110.1612903224
215,ORO,08-03,2283841.7741935486
216,ORO,08-04,2230410.65625
217,ORO,08-05,2219879.75
218,ORO,08-06,2209098.46875
219,ORO,08-07,2197773.2580645164
220,ORO,08-08,2188271.7741935486
221,ORO,08-09,2223504.5161290322
222,ORO,08-10,2157023.9677419355
223,ORO,08-11,2162068.46875
224,ORO,08-12,2151796.40625
225,ORO,08-13,2142627.25
226,ORO,08-14,2132405.7419354836
227,ORO,08-15,2123000.6129032257
228,ORO,08-16,2158207.935483871
229,ORO,08-17,2149308.2580645164
230,ORO,08-18,2098293.125
231,ORO,08-19,2087663.6451612904
232,ORO,08-20,2081184.4375
233,ORO,08-21,2071611.9677419355
234,ORO,08-22,2106710.6
235,ORO,08-23,2098641.4838709678
236,ORO,08-24,2090522.5161290322
237,ORO,08-25,2082160.7419354839
238,ORO,08-26,2031854.125
239,ORO,08-27,2024562.4375
240,ORO,08-28,2015131.0322580645
241,ORO,08-29,2007719.0967741935
242,ORO,08-30,2043933.0
243,ORO,08-31,2037219.5483870967
244,ORO,09-01,2031184.4838709678
245,ORO,09-02,1983120.4375
246,ORO,09-03,2019357.6451612904
247,ORO,09-04,1969381.2580645161
248,ORO,09-05,1963232.0967741935
249,ORO,09-06,2000085.3666666667
250,ORO,09-07,1994506.0322580645
251,ORO,09-08,1946289.40625
252,ORO,09-09,1941673.625
253,ORO,09-10,1937397.46875
254,ORO,09-11,1931160.064516129
255,ORO,09-12,1925793.8387096773
256,ORO,09-13,1965339.5806451612
257,ORO,09-14,1960035.2903225806
258,ORO,09-15,1914729.375
259,ORO,09-16,1910088.3125
260,ORO,09-17,1907168.4375
261,ORO,09-18,1901129.6451612904
262,ORO,09-19,1897626.3548387096
263,ORO,09-20,1937750.2903225806
264,ORO,09-21,1933695.7419354839
265,ORO,09-22,1889695.5
266,ORO,09-23,1886095.34375
267,ORO,09-24,1883933.75
268,ORO,09-25,1901422.3666666667
269,ORO,09-26,1873751.322580645
270,ORO,09-27,1939386.9333333333
271,ORO,09-28,1935173.8666666667
272,ORO,09-29,1889269.5483870967
273,ORO,09-30,1862469.21875
274,ORO,10-01,1860210.96875
275,ORO,10-02,1852930.9032258065
276,ORO,10-03,1890355.5666666667
277,ORO,10-04,1890185.3548387096
278,ORO,10-05,1885463.8387096773
279,ORO,10-06,1841253.15625
280,ORO,10-07,1838179.21875
281,ORO,10-08,1835542.84375
282,ORO,10-09,1828516.1612903227
283,ORO,10-10,1826191.1612903227
284,ORO,10-11,1864017.1666666667
285,ORO,10-12,1865044.7096774194
286,ORO,10-13,1861954.322580645
287,ORO,10-14,1820189.0625
288,ORO,10-15,1818091.75
289,ORO,10-16,1811745.1935483871
290,ORO,10-17,1810019.7096774194
291,ORO,10-18,1852109.1612903227
292,ORO,10-19,1845637.6666666667
293,ORO,10-20,1808698.78125
294,ORO,10-21,1806211.84375
295,ORO,10-22,1843155.2580645161
296,ORO,10-23,1797191.9677419355
297,ORO,10-24,1794813.4193548388
298,ORO,10-25,1836739.2903225806
299,ORO,10-26,1834604.7419354839
300,ORO,10-27,1792458.75
301,ORO,10-28,1790187.15625
302,ORO,10-29,1789754.78125
303,ORO,10-30,1782388.1612903227
304,ORO,10-31,1780043.322580645
305,ORO,11-01,1822972.9032258065
306,ORO,11-02,1820482.9032258065
307,ORO,11-03,1778255.40625
308,ORO,11-04,1775888.75
309,ORO,11-05,1774520.6875
310,ORO,11-06,1755156.2903225806
311,ORO,11-07,1769173.3125
312,ORO,11-08,1806800.1935483871
313,ORO,11-09,1804700.8387096773
314,ORO,11-10,1802310.7096774194
315,ORO,11-11,1760899.0
316,ORO,11-12,1759420.84375
317,ORO,11-13,1757331.21875
318,ORO,11-14,1754685.65625
319,ORO,11-15,1813407.0333333334
320,ORO,11-16,1790799.1290322582
321,ORO,11-17,1749871.0625
322,ORO,11-18,1748555.59375
323,ORO,11-19,1748429.25
324,ORO,11-20,1748088.15625
325,ORO,11-21,1747444.0
326,ORO,11-22,1788442.1290322582
327,ORO,11-23,1791408.3870967743
328,ORO,11-24,1751189.5625
329,ORO,11-25,1751171.90625
330,ORO,11-26,1757065.28125
331,ORO,11-27,1791971.7096774194
332,ORO,11-28,1792152.0322580645
333,ORO,11-29,1791033.2580645161
334,ORO,11-30,1793064.5161290322
335,ORO,12-01,1755117.96875
336,ORO,12-02,1760845.15625
337,ORO,12-03,1764786.96875
338,ORO,12-04,1755162.064516129
339,ORO,12-05,1757377.2258064516
340,ORO,12-06,1810435.322580645
341,ORO,12-07,1811191.0
342,ORO,12-08,1772037.90625
343,ORO,12-09,1772968.28125
344,ORO,12-10,1778926.8125
345,ORO,12-11,1767361.5483870967
346,ORO,12-12,1785227.65625
347,ORO,12-13,1824799.4193548388
348,ORO,12-14,1825925.935483871
349,ORO,12-15,1789749.59375
350,ORO,12-16,1793050.46875
351,ORO,12-17,1795425.15625
352,ORO,12-18,1798061.375
353,ORO,12-19,1801532.90625
354,ORO,12-20,1842462.8709677418
355,ORO,12-21,1845093.3870967743
356,ORO,12-22,1809761.46875
357,ORO,12-23,1811966.25
358,ORO,12-24,1853154.4516129033
359,ORO,12-25,1816510.65625
360,ORO,12-26,1817806.21875
361,ORO,12-27,1858895.0967741935
362,ORO,12-28,1862194.2258064516
363,ORO,12-29,1823911.75
364,ORO,12-30,1828111.90625
365,ORO,12-31,1881416.9032258065
